cluster_rep,member,member_gain
boltz_tier0.affinity_pred_value,boltz_tier0.affinity_pred_value,10869.658973657151
boltz_tier0.affinity_pred_value,boltz_tier0.affinity_pred_value_2,2102.84125369545
boltz_tier0.affinity_pred_value,boltz_tier0.affinity_pred_value_1,109.79721956839784
mordred.SLogP,mordred.SLogP,7754.193999275658
mordred.SLogP,rdkit.MolLogP,2153.15745738484
boltz_tier0.affinity_probability_binary_2,boltz_tier0.affinity_probability_binary_2,2815.956606228649
mordred.ABCGG,mordred.ABCGG,1516.9194398663938
mordred.ABCGG,mordred.Vabc,1020.6434645920992
mordred.ABCGG,mordred.ATSC0d,990.3497078195214
mordred.ABCGG,mordred.ATS7Z,256.1487416602671
mordred.ABCGG,mordred.ATS6m,198.65581780709329
mordred.ABCGG,mordred.ATS6Z,156.87293389588595
mordred.ABCGG,mordred.ATS2v,146.1787543643266
mordred.ABCGG,mordred.VR1_Dzp,108.4441756721586
mordred.ABCGG,mordred.ATS5Z,95.01629078164696
mordred.ABCGG,mordred.ETA_eta_R,71.46538389790803
mordred.ABCGG,mordred.VR1_Dzm,69.15811767578126
mordred.ABCGG,mordred.MPC3,68.69330731630325
mordred.ABCGG,rdkit.Kappa1,66.88592140711845
mordred.ABCGG,mordred.Xp-4d,66.57900757081806
mordred.ABCGG,mordred.ATS5m,61.90202993750572
mordred.MINdO,mordred.MINdO,1235.0339970614762
mordred.MINdO,mordred.MAXdO,103.7943419918418
boltz_tier0.affinity_probability_binary,boltz_tier0.affinity_probability_binary,1159.7405036123469
boltz_tier0.affinity_probability_binary,boltz_tier0.affinity_probability_binary_1,188.08707934357227
d3_morse.64,d3_morse.64,920.956450009346
d3_morse.64,mordred.ATS7v,138.11966112274678
boltz_tier1.pde_pocket_ligand_min,boltz_tier1.pde_pocket_ligand_min,727.6007651848719
boltz_tier1.pde_pocket_ligand_min,boltz_tier0.complex_ipde,352.3014303840697
boltz_tier1.pde_pocket_ligand_min,boltz_tier1.pae_protein_ligand_min,158.29497614726424
boltz_tier1.pde_pocket_ligand_min,boltz_tier1.pae_pocket_ligand_min,124.60409883446992
boltz_tier1.pde_pocket_ligand_min,boltz_tier1.pde_pocket_ligand_mean,70.14068539142609
d3_usrcat.39,d3_usrcat.39,564.1519002820365
d3_usrcat.39,d3_usrcat.36,511.9573964079842
mordred.VE1_DzZ,mordred.VE1_DzZ,523.5182822570205
mordred.VE1_DzZ,mordred.VR3_DzZ,431.12720488607886
mordred.VE1_DzZ,mordred.MID_C,397.0536501597613
mordred.VE1_DzZ,mordred.VE1_Dzse,343.41752926707267
mordred.VE1_DzZ,mordred.VE2_Dzare,241.41239612624048
mordred.VE1_DzZ,mordred.VE1_Dzm,235.34820556640625
mordred.VE1_DzZ,mordred.VR3_Dzv,235.00190123915672
mordred.VE1_DzZ,d3_whim.27,176.50348682403563
mordred.VE1_DzZ,mordred.VE3_Dzm,158.281005859375
mordred.VE1_DzZ,mordred.VE3_DzZ,152.2832536816597
mordred.VE1_DzZ,mordred.VR3_Dzare,115.24639892578124
mordred.VE1_DzZ,mordred.VR3_Dzi,110.735400390625
mordred.VE1_DzZ,mordred.VE3_Dzse,99.21070022583008
mordred.VE1_DzZ,mordred.AETA_eta_R,74.44493335932493
mordred.Xpc-6dv,mordred.Xpc-6dv,480.573118108511
mordred.Xpc-6dv,mordred.Xpc-5dv,297.4528926569968
mordred.Xpc-6dv,mordred.Xpc-4dv,81.59329924993217
d3_usrcat.46,d3_usrcat.46,407.81912731342015
mordred.MAXdsCH,mordred.MAXdsCH,391.7284631751478
mordred.MAXdsCH,mordred.MINdsCH,97.6229694839567
d3_mordred3d.WNSA1,d3_mordred3d.WNSA1,370.8466653922573
d3_mordred3d.FPSA3,d3_mordred3d.FPSA3,364.3683687746525
mordred.FilterItLogS,mordred.FilterItLogS,280.1435840917751
mordred.ATS4Z,mordred.ATS4Z,278.7685383796692
mordred.ATS4Z,mordred.ATS4m,59.90183785259724
mordred.SMR_VSA5,mordred.SMR_VSA5,257.6422588193789
