test_rank_group,test_index,global_feature_idx,feature,family,shap_value,abs_shap,lgbm_gain
0,101,2101,log2fc_pred__log2fc_8p25_pred,log2fc_pred,-1.2722624009661727,1.2722624009661727,37727.550247958236
0,101,2102,log2fc_pred__log2fc_33_pred,log2fc_pred,-0.09594323844143987,0.09594323844143987,2118.789875691582
0,101,67,chemeleon_067,chemeleon,-0.00565955219912504,0.00565955219912504,190.5602526536677
0,101,307,mordred__Si,mordred,-0.01751132475478229,0.01751132475478229,140.3150593972823
0,101,1163,mordred__ATSC7dv,mordred,-0.32960935131900393,0.32960935131900393,136.61011269286973
0,101,2,chemeleon_002,chemeleon,-0.20506838266490393,0.20506838266490393,99.60687737475382
0,101,2042,boltz_tier0__affinity_probability_binary_1,boltz_tier0,-0.009064484644708106,0.009064484644708106,80.81446320944815
0,101,87,chemeleon_087,chemeleon,-0.2456227318117596,0.2456227318117596,76.12513398958254
0,101,2056,boltz_tier0__ensemble_diff_prob,boltz_tier0,-0.3544890504184441,0.3544890504184441,74.34197460378346
0,101,1730,mordred__TopoPSA(NO),mordred,-0.14778095355712956,0.14778095355712956,74.26991413207725
0,101,175,chemeleon_175,chemeleon,-0.4171926169383552,0.4171926169383552,71.5173612148501
0,101,2054,boltz_tier0__ligand_to_pocket_distance_a,boltz_tier0,0.03974312938088428,0.03974312938088428,67.28673614401487
0,101,575,mordred__SRW06,mordred,-0.46896930825108807,0.46896930825108807,65.40936881443486
0,101,570,mordred__SLogP,mordred,-0.3119456906948963,0.3119456906948963,65.22283202639665
0,101,376,mordred__JGI7,mordred,-0.31136317082889287,0.31136317082889287,61.41586010690662
0,101,692,mordred__AATS6i,mordred,0.1736064906884698,0.1736064906884698,60.59688772325171
0,101,858,mordred__GATS5i,mordred,0.037217776880713566,0.037217776880713566,60.22589705089922
0,101,1817,pose_jazzy__sa,pose_jazzy,0.015232181432624723,0.015232181432624723,59.87137280887691
0,101,628,mordred__Xp-7d,mordred,0.036101155089809496,0.036101155089809496,58.90361438621767
0,101,46,chemeleon_046,chemeleon,0.040354847557350706,0.040354847557350706,55.30017209853395
0,101,1824,rdkit__qed,rdkit_full,0.40205174747492695,0.40205174747492695,54.884967056364985
0,101,756,mordred__ATSC1p,mordred,-0.2284861505841965,0.2284861505841965,52.283214442111785
0,101,1820,pose_jazzy__dgtot,pose_jazzy,-0.30681153001279254,0.30681153001279254,51.322449922852684
0,101,327,mordred__IC4,mordred,-0.32420711692178183,0.32420711692178183,51.15338725975016
0,101,1672,mordred__SlogP_VSA3,mordred,-0.3225281940027188,0.3225281940027188,49.79436551967228
0,101,780,mordred__ATSC4p,mordred,0.07209558629861607,0.07209558629861607,49.38423469837289
0,101,535,mordred__MPC10,mordred,0.31304078193849855,0.31304078193849855,48.248690871638246
0,101,877,mordred__GATS7s,mordred,-0.1589413652029998,0.1589413652029998,46.69019431370543
0,101,1243,mordred__MINaasC,mordred,0.097633427861254,0.097633427861254,46.26352692357614
0,101,9,chemeleon_009,chemeleon,0.12652935147043776,0.12652935147043776,46.016431396172266
0,101,6,chemeleon_006,chemeleon,-0.06734557695316554,0.06734557695316554,45.44902968691895
0,101,298,chemeleon_298,chemeleon,0.014915062999072165,0.014915062999072165,44.134217919941875
0,101,55,chemeleon_055,chemeleon,-0.5626944899609297,0.5626944899609297,43.6953527823498
0,101,1714,mordred__EState_VSA7,mordred,0.48329019785247906,0.48329019785247906,42.95129023154732
0,101,208,chemeleon_208,chemeleon,-0.050891726182323974,0.050891726182323974,42.89311112406722
0,101,42,chemeleon_042,chemeleon,0.45374649276304035,0.45374649276304035,42.75372798889293
0,101,2038,boltz_tier0__affinity_pred_value,boltz_tier0,-0.3850524283141937,0.3850524283141937,41.829444086615695
0,101,1654,mordred__AETA_eta_L,mordred,0.5233130948122177,0.5233130948122177,41.50379265326774
0,101,166,chemeleon_166,chemeleon,0.004612125732281427,0.004612125732281427,41.26935065363068
0,101,230,chemeleon_230,chemeleon,-0.09272285664885678,0.09272285664885678,40.72186018564389
0,101,69,chemeleon_069,chemeleon,-0.06756150248170976,0.06756150248170976,40.43062707816716
0,101,2041,boltz_tier0__affinity_probability_binary,boltz_tier0,0.11827878008905382,0.11827878008905382,40.05876352090854
0,101,94,chemeleon_094,chemeleon,-0.02022897825524234,0.02022897825524234,39.830162789381575
0,101,83,chemeleon_083,chemeleon,-0.03683285716162687,0.03683285716162687,39.61888286093017
0,101,470,mordred__ATS3i,mordred,0.16724076548065464,0.16724076548065464,39.32829407812096
